1	7	2941
0	0	5440
2	7	5691
0	0	8285
1	7	8536
0	0	11038
2	7	11289
0	0	14174
1	3	14429
0	0	16930
2	3	17181
0	0	18917
1	3	19164
0	0	21669
2	3	21921
0	0	26837
1	4	27086
0	0	29586
2	4	29838
0	0	35442
1	4	35691
0	0	38189
2	4	38444
0	0	42986
1	7	43237
0	0	45741
2	7	45992
0	0	46912
1	6	47158
0	0	49662
2	6	49914
0	0	51990
1	6	52241
0	0	54733
2	6	54985
0	0	57875
1	6	58125
0	0	60632
2	6	60883
0	0	64186
1	1	64444
0	0	66942
2	1	67194
0	0	69325
1	3	69572
0	0	72071
2	3	72322
0	0	75736
1	2	75984
0	0	78485
2	2	78736
0	0	80243
1	2	80493
0	0	82993
2	2	83244
0	0	89944
1	7	90195
0	0	92696
2	7	92948
0	0	95005
1	1	95250
0	0	97751
2	1	98003
0	0	100858
1	2	101105
0	0	103601
2	2	103853
0	0	106248
1	6	106500
0	0	109004
2	6	109255
0	0	112886
1	2	113133
0	0	115633
2	2	115884
0	0	117717
1	2	117961
0	0	120460
2	2	120712
0	0	123681
1	5	123936
0	0	126431
2	5	126682
0	0	128035
1	1	128281
0	0	130788
2	1	131039
0	0	133757
1	4	134011
0	0	136508
2	4	136761
0	0	138222
1	3	138475
0	0	140982
2	3	141234
0	0	146395
1	4	146642
0	0	149147
2	4	149401
0	0	152656
1	1	152906
0	0	155406
2	1	155657
0	0	157995
1	1	158249
0	0	160742
2	1	160993
0	0	174113
1	1	174363
0	0	176859
2	1	177110
0	0	182758
1	3	183015
0	0	185517
2	3	185769
0	0	187460
1	5	187705
0	0	190204
2	5	190455
0	0	198534
1	7	198781
0	0	201280
2	7	201531
0	0	205287
1	6	205531
0	0	208031
2	6	208282
0	0	210604
1	5	210851
0	0	213352
2	5	213604
0	0	215686
1	4	215939
0	0	218440
2	4	218695
0	0	220878
1	7	221126
0	0	223626
2	7	223877
0	0	225260
1	2	225507
0	0	228007
2	2	228259
0	0	230293
1	2	230540
0	0	233040
2	2	233291
0	0	234648
1	1	234898
0	0	237399
2	1	237650
0	0	242375
1	6	242625
0	0	245127
2	6	245378
0	0	247376
1	5	247628
0	0	250128
2	5	250379
0	0	251954
1	7	252205
0	0	254709
2	7	254961
0	0	258860
1	7	259112
0	0	261609
2	7	261860
0	0	264811
1	6	265054
0	0	267561
2	6	267812
0	0	281967
1	6	282218
0	0	284711
2	6	284962
0	0	316856
1	5	317102
0	0	319603
2	5	319854
0	0	322378
1	3	322625
0	0	325125
2	3	325376
0	0	330175
1	5	330429
0	0	332929
2	5	333180
0	0	336102
1	4	336352
0	0	338852
2	4	339103
0	0	341311
